"","dimension","regex","token"
"1","human_rights","\baboriginal peoples\b","aboriginal peoples"
"2","human_rights","\baboriginals\b","aboriginals"
"3","human_rights","\babuse\b","abuse"
"4","human_rights","\baccept\b","accept"
"5","human_rights","\baccepted\b","accepted"
"6","human_rights","\baccommodating\b","accommodating"
"7","human_rights","\baccommodation\b","accommodation"
"8","human_rights","\baccountability\b","accountability"
"9","human_rights","\bactivities\b","activities"
"10","human_rights","\bacts\b","acts"
"11","human_rights","\badopt\b","adopt"
"12","human_rights","\badopted\b","adopted"
"13","human_rights","\badverse\b","adverse"
"14","human_rights","\badversely\b","adversely"
"15","human_rights","\bafrican\b","african"
"16","human_rights","\bafrican american\b","african american"
"17","human_rights","\bafrican americans\b","african americans"
"18","human_rights","\bafricans\b","africans"
"19","human_rights","\baged\b","aged"
"20","human_rights","\bagent\b","agent"
"21","human_rights","\bages\b","ages"
"22","human_rights","\bagreements\b","agreements"
"23","human_rights","\baids\b","aids"
"24","human_rights","\balaska natives\b","alaska natives"
"25","human_rights","\balaskan natives\b","alaskan natives"
"26","human_rights","\balternative lifestyle\b","alternative lifestyle"
"27","human_rights","\balternative lifestyles\b","alternative lifestyles"
"28","human_rights","\balternative lives\b","alternative lives"
"29","human_rights","\bavoid\b","avoid"
"30","human_rights","\baward\b","award"
"31","human_rights","\bawareness\b","awareness"
"32","human_rights","\bbalancing\b","balancing"
"33","human_rights","\bbaselines\b","baselines"
"34","human_rights","\bbelonging\b","belonging"
"35","human_rights","\bbeneficially\b","beneficially"
"36","human_rights","\bbeneficiary\b","beneficiary"
"37","human_rights","\bbenefit\b","benefit"
"38","human_rights","\bbenefits\b","benefits"
"39","human_rights","\bbylaws\b","bylaws"
"40","human_rights","\bcare\b","care"
"41","human_rights","\bcertification\b","certification"
"42","human_rights","\bcertifications\b","certifications"
"43","human_rights","\bcertify\b","certify"
"44","human_rights","\bcertifying\b","certifying"
"45","human_rights","\bcharitable\b","charitable"
"46","human_rights","\bcivil\b","civil"
"47","human_rights","\bcivil liberties\b","civil liberties"
"48","human_rights","\bcivil liberty\b","civil liberty"
"49","human_rights","\bcivil rights\b","civil rights"
"50","human_rights","\bclaims\b","claims"
"51","human_rights","\bclass\b","class"
"52","human_rights","\bcoach\b","coach"
"53","human_rights","\bcommitments\b","commitments"
"54","human_rights","\bcommittee\b","committee"
"55","human_rights","\bcommunities\b","communities"
"56","human_rights","\bcommunity\b","community"
"57","human_rights","\bconstitution\b","constitution"
"58","human_rights","\bconstitutional right\b","constitutional right"
"59","human_rights","\bconstitutional rights\b","constitutional rights"
"60","human_rights","\bcore\b","core"
"61","human_rights","\bcovenants\b","covenants"
"62","human_rights","\bcross culturalism\b","cross culturalism"
"63","human_rights","\bcross culturalisms\b","cross culturalisms"
"64","human_rights","\bcultures\b","cultures"
"65","human_rights","\bcustodian\b","custodian"
"66","human_rights","\bdevelopment\b","development"
"67","human_rights","\bdied\b","died"
"68","human_rights","\bdies\b","dies"
"69","human_rights","\bdisability\b","disability"
"70","human_rights","\bdisabled\b","disabled"
"71","human_rights","\bdisadvantage\b","disadvantage"
"72","human_rights","\bdisadvantaged\b","disadvantaged"
"73","human_rights","\bdisadvantageous\b","disadvantageous"
"74","human_rights","\bdisadvantages\b","disadvantages"
"75","human_rights","\bdisasters\b","disasters"
"76","human_rights","\bdiscriminating\b","discriminating"
"77","human_rights","\bdiscrimination\b","discrimination"
"78","human_rights","\bdiscriminatory\b","discriminatory"
"79","human_rights","\bdiverse\b","diverse"
"80","human_rights","\bdiversification\b","diversification"
"81","human_rights","\bdiversified\b","diversified"
"82","human_rights","\bdiversify\b","diversify"
"83","human_rights","\bdiversifying\b","diversifying"
"84","human_rights","\bdiversity\b","diversity"
"85","human_rights","\bduty\b","duty"
"86","human_rights","\beducate\b","educate"
"87","human_rights","\beducating\b","educating"
"88","human_rights","\beducation\b","education"
"89","human_rights","\beducational\b","educational"
"90","human_rights","\belected\b","elected"
"91","human_rights","\belection\b","election"
"92","human_rights","\bemploy\b","employ"
"93","human_rights","\bemployed\b","employed"
"94","human_rights","\bemployee\b","employee"
"95","human_rights","\bemployee involvement\b","employee involvement"
"96","human_rights","\bemployee involvements\b","employee involvements"
"97","human_rights","\bemployees\b","employees"
"98","human_rights","\bemployees'\b","employees'"
"99","human_rights","\bemploying\b","employing"
"100","human_rights","\bemployment\b","employment"
"101","human_rights","\bempower\b","empower"
"102","human_rights","\bempowered\b","empowered"
"103","human_rights","\bempowering\b","empowering"
"104","human_rights","\bempowerment\b","empowerment"
"105","human_rights","\bempowers\b","empowers"
"106","human_rights","\benabling\b","enabling"
"107","human_rights","\bengage\b","engage"
"108","human_rights","\bengaging\b","engaging"
"109","human_rights","\benhancements\b","enhancements"
"110","human_rights","\benhancing\b","enhancing"
"111","human_rights","\bentitled rights\b","entitled rights"
"112","human_rights","\bequal\b","equal"
"113","human_rights","\bequal opportunities\b","equal opportunities"
"114","human_rights","\bequal opportunity\b","equal opportunity"
"115","human_rights","\bequality\b","equality"
"116","human_rights","\bequity\b","equity"
"117","human_rights","\bergonomically\b","ergonomically"
"118","human_rights","\bethic\b","ethic"
"119","human_rights","\bethical\b","ethical"
"120","human_rights","\bethically\b","ethically"
"121","human_rights","\bethnic\b","ethnic"
"122","human_rights","\bethnic diversities\b","ethnic diversities"
"123","human_rights","\bethnic diversity\b","ethnic diversity"
"124","human_rights","\bethnic mosaic\b","ethnic mosaic"
"125","human_rights","\bethnic mosaics\b","ethnic mosaics"
"126","human_rights","\bethnically\b","ethnically"
"127","human_rights","\bethnicities\b","ethnicities"
"128","human_rights","\bethnicity\b","ethnicity"
"129","human_rights","\bexercise\b","exercise"
"130","human_rights","\beyes\b","eyes"
"131","human_rights","\bface\b","face"
"132","human_rights","\bfair\b","fair"
"133","human_rights","\bfairness\b","fairness"
"134","human_rights","\bfamilies\b","families"
"135","human_rights","\bfamily\b","family"
"136","human_rights","\bfemale\b","female"
"137","human_rights","\bfiduciary\b","fiduciary"
