"","x","y"
"1","a pillar",2.904543116
"2","ab liva",-0.957870011
"3","able",2.639373993
"4","above average",3.215001812
"5","above mentioned",2.581580349
"6","abrasive",1.675191287
"7","absent",0.485064882
"8","absolute",0.473787953
"9","abstract",2.006855726
"10","absurd",-3.77787441
"11","abundant",1.152269159
"12","abusive",-1.230497098
"13","academic",6.000101486
"14","acceptable",1.931534858
"15","accessible",5.072871883
"16","accidental",-1.230631733
"17","accord based",0.045968661
"18","accurate",3.373191652
"19","acidic",0.694563782
"20","acoustic",2.503752735
"21","acrostic",-1.170897982
"22","action",1.564783441
"23","action adventure",0.908551649
"24","action packed",1.337983897
"25","active",3.591802465
"26","active matrix",9.684892713
"27","actual",1.32182676
"28","adaptable",4.408283437
"29","add on",2.984826376
"30","addictive",0.200934163
"31","additional",4.64695464
"32","addressable",2.317510014
"33","adept ",2.832265004
"34","adequate",0.596756763
"35","adequate borderline",0.801593659
"36","adjacent",3.907778931
"37","adjustable",4.341169598
"38","admirable",0.57753244
"39","adoptive",2.643858059
"40","adorable",-1.213662813
"41","adventurous",1.680850378
"42","adverse",-1.864060087
"43","aerobic",1.143567918
"44","aerodynamic",3.647336411
"45","affluent",-0.722805669
"46","affordable",5.859416785
"47","aflame",-2.336272361
"48","afraid",-1.391042499
"49","african americans",-0.2829897
"50","after life",-2.332906237
"51","after the fact",1.232690332
"52","age old",-1.597206253
"53","age reminiscent",2.929973593
"54","aggressive",0.489775397
"55","agile",1.647310995
"56","agonizing",-2.746842521
"57","agressive",1.231004263
"58","air conditioned",9.103608813
"59","airplane ride",-0.50684649
"60","airy",2.902686289
"61","alcoholic",1.173319508
"62","alien",-2.121659084
"63","alive",-0.097109843
"64","all around",0.049892279
"65","all clad",2.922154327
"66","all clear",-1.389392075
"67","all day",0.123330438
"68","all mighty",-1.970225924
"69","all new",3.362812645
"70","all out",-1.711932842
"71","all prep",1.067484205
"72","all purpose",2.254188143
"73","all star",1.030256977
"74","all time",0.68870763
"75","all too rare",-1.315319084
"76","all weather",7.673157877
"77","all women",-1.274984626
"78","all womens",5.262505642
"79","all you",-0.592650244
"80","all you can eat",2.363733487
"81","allowable",2.886048635
"82","almost all c's",7.666407704
"83","almost mafiosio styled",15.61625044
"84","already nice",-2.372486157
"85","alternate",1.360247507
"86","altruistic",-1.105170321
"87","amateurish",-1.757376364
"88","amateurish looking",-3.66925616
"89","amazing",0.975175757
"90","amber",-0.649442994
"91","ambivalent",-5.206251
"92","amenity poor",-3.087049137
"93","ample",1.88727691
"94","amusing",-1.529374471
"95","anal",-1.452385314
"96","anal retentive",-3.272973315
"97","analytical",4.68893665
"98","ancestral ",2.168661745
"99","ancient",0.894252214
"100","anemic",-1.40769679
"101","angelic",-3.501715125
"102","angry",-2.972706695
"103","angular",2.643582642
