,seq_no,segment,polarity
0,0,"But remember, please, the Law by which we live, We are not built to comprehend a lie ...",0.12874248623847961
1,1,"Kipling, ""The Secret of the Machines""",0.8551532030105591
2,2,"It was religious yearning granted hope, it was the holy grail of science.",0.6192407011985779
3,3,"Our ambitions ran high and low--for a creation myth made real, for a monstrous act of self-love.",0.1047237440943718
4,4,"As soon as it was feasible, we had no choice but to follow our desires and hang the consequences.",0.4218513071537018
5,5,"In loftiest terms, we aimed to escape our mortality, confront or even replace the Godhead with a perfect self.",0.32968828082084656
6,6,"More practically, we intended to devise an improved, more modern version of ourselves and exult in the joy of invention, the thrill of mastery.",0.4228380620479584
7,7,"In the autumn of the twentieth century, it came about at last, the first step towards the fulfilment of an ancient dream, the beginning of the long lesson we would teach ourselves that however complicated we were, however faulty and difficult to describe in even our simplest actions and modes of being, we could be imitated and bettered.",0.7697117328643799
8,8,"And I was there as a young man, an early and eager adopter in that chilly dawn.",0.6758370399475098
9,9,"But artificial humans were a cliche long before they arrived, so when they did, they seemed to some a disappointment.",0.4444243907928467
10,10,"The imagination, fleeter than history, than technological advance, had already rehearsed this future in books, then films and TV dramas, as if human actors, walking with a certain glazed look, phony head movements, some stiffness in the lower back, could prepare us for life with our cousins from the future.",0.41416609287261963
11,11,"I was among the optimists, blessed by unexpected funds following my mother's death and the sale of the family home, which turned out to be on a valuable development site.",0.4312637746334076
12,12,"The first truly viable manufactured human with plausible intelligence and looks, believable motion and shifts of expression, went on sale the week before the Falklands Task Force set off on its hopeless mission.",0.2011868804693222
13,13,"Adam cost PS86,000.",0.3582116663455963
14,14,I brought him home in a hired van to my unpleasant flat in north Clapham.,0.5885142683982849
15,15,"I would made a reckless decision, but I was encouraged by reports that Sir Alan Turing, war hero and presiding genius of the digital age, had taken delivery of the same model.",0.680264949798584
16,16,Fie probably wanted to have his lab take it apart to examine its workings fully.,0.33915236592292786
17,17,"Twelve of this first edition were called Adam, thirteen were called Eve.",0.4577476382255554
18,18,"Corny, everyone agreed, but commercial.",0.4528614580631256
19,19,"Notions of biological race being scientifically discredited, the twenty-five were designed to cover a range of ethnicities.",0.38768401741981506
20,20,"There were rumours, then complaints, that the Arab could not be told apart from the Jew.",0.619479238986969
21,21,Random programming as well as life experience would grant to all complete latitude in sexual preference.,0.16911327838897705
22,22,"By the end of the first week, all the Eves sold out.",0.6352695226669312
23,23,"At a careless glance, I might have taken my Adam for a Turk or a Greek.",0.3625445067882538
24,24,"He weighed 170 pounds, so I had to ask my upstairs neighbour, Miranda, to help me carry him in from the street on the disposable stretcher that came with the purchase.",0.6093528270721436
25,25,"While his batteries began to charge, I made us coffee, then scrolled through the 470-page online handbook.",0.6289677619934082
26,26,Its language was mostly clear and precise.,0.32167696952819824
27,27,But Adam was created across different agencies and in places the instructions had the charm of a nonsense poem.,0.33390283584594727
28,28,"Unreveal upside of B347k vest to gain carefree emoticon with motherboard output to attenuate mood-swing penumbra.""",0.3885729908943176
29,29,"At last, with cardboard and polystyrene wrapping strewn around his ankles, he sat naked at my tiny dining table, eyes closed, a black power line trailing from the entry point in his umbilicus to a thirteen-amp socket in the wall.",0.542141318321228
30,30,It would take sixteen hours to fire him up.,0.4161263704299927
31,31,Then sessions of download updates and personal preferences.,0.6624842286109924
32,32,"I wanted him now, and so did Miranda.",0.35858213901519775
33,33,"Like eager young parents, we were avid for his first words.",0.40537241101264954
34,34,There was no loudspeaker cheaply buried in his chest.,0.5106130838394165
35,35,"We knew from the excited publicity that he formed sounds with breath, tongue, teeth and palate.",0.37864282727241516
36,36,Already his lifelike skin was warm to the touch and as smooth as a child's.,0.5445420145988464
37,37,Miranda claimed to see his eyelashes flicker.,0.1266547590494156
38,38,"I was certain she was seeing vibrations from the Tube trains rolling a hundred feet below us, but I said nothing.",0.44264698028564453
39,39,Adam was not a sex toy.,0.24679727852344513
40,40,"However, he was capable of sex and possessed functional mucous membranes, in the maintenance of which he consumed half a litre of water each day.",0.2162124216556549
41,41,"While he sat at the table, I observed that he was uncircumcised, fairly well endowed, with copious dark pubic hair.",0.4304545223712921
42,42,This highly advanced model of artificial human was likely to reflect the appetites of its young creators of code.,0.26991739869117737
43,43,"The Adams and Eves, it was thought, would be lively.",0.7022721171379089
44,44,"He was advertised as a companion, an intellectual sparring partner, friend and factotum who could wash dishes, make beds and ""think.",0.25659167766571045
45,45,"He could not drive as yet and was not allowed to swim or shower or go out in the rain without an umbrella, or operate a chainsaw unsupervised.",0.6388155817985535
46,46,"As for range, thanks to breakthroughs in electrical storage, he could run seventeen kilometres in two hours without a charge or, its energy equivalent, converse non-stop for twelve days.",0.6294392347335815
47,47,He had a working life of twenty years.,0.6329244375228882
48,48,"He was compactly built, square-shouldered, dark-skinned, with thick black hair swept back; narrow in the face, with a hint of hooked nose suggestive of fierce intelligence, pensively hooded eyes, tight lips that, even as we watched, were draining of their deathly yellowish-white tint and acquiring rich human colour, perhaps even relaxing a little at the corners.",0.4618740379810333
49,49,"Miranda said he resembled ""a docker from the Bosphorus.""",0.31176263093948364
50,50,"Before us sat the ultimate plaything, the dream of ages, the triumph of humanism--or its angel of death.",0.3297411799430847
51,51,"Exciting beyond measure, but frustrating too.",0.32591623067855835
52,52,Sixteen hours was a long time to be waiting and watching.,0.5601081252098083
53,53,"I thought that for the sum I would handed over after lunch, Adam should have been charged up and ready to go.",0.6840236783027649
54,54,It was a wintry late afternoon.,0.6991139054298401
55,55,I made toast and we drank more coffee.,0.43069371581077576
56,56,"Miranda, a doctoral scholar of social history, said she wished the teenage Mary Shelley was here beside us, observing closely, not a monster like Frankenstein's, but this handsome dark-skinned young man coming to life.",0.3320399820804596
57,57,I said that what both creatures shared was a hunger for the animating force of electricity.,0.1832890808582306
58,58,"She spoke as though she was referring only to herself and me, rather than all of electrochemically charged humanity.",0.322716623544693
59,59,"She was twenty-two, mature for her years and",0.4623708128929138
60,60,ten years younger than me.,0.6737828850746155
61,61,"From a long perspective, there was not much between us.",0.7616429924964905
62,62,We were gloriously young.,0.5423675775527954
63,63,But I considered myself at a different stage of life.,0.40550047159194946
64,64,My formal education was far behind me.,0.7121840715408325
65,65,I would suffered a series of professional and financial and personal failures.,0.47411513328552246
66,66,"I regarded myself as too hard-bitten, too cynical for a lovely young woman like Miranda.",0.3343045711517334
67,67,"And though she was beautiful, with pale brown hair and a long thin face, and eyes that often appeared narrowed by suppressed mirth, and though in certain moods I looked at her in wonder, I would decided early on to confine her in the role of kind, neighbourly friend.",0.2750381529331207
68,68,We shared an entrance hall and her tiny apartment was right over mine.,0.746849000453949
69,69,We saw each other for a coffee now and then to talk about relationships and politics and all the rest.,0.7072359323501587
70,70,With pitch-perfect neutrality she gave the impression of being at ease with the possibilities.,0.7873782515525818
71,71,"To her, it seemed, an afternoon of intimate pleasure with me would have weighed equally with a chaste and companionable chat.",0.5822700262069702
72,72,She was relaxed in my company,0.8174008131027222
73,73,and I preferred to think that sex would ruin everything.,0.37941649556159973
74,74,We remained good chums.,0.6178151965141296
75,75,But there was something alluringly secretive or restrained about her.,0.570009171962738
76,76,"Perhaps, without knowing it, I had been in love with her for months.",0.6986363530158997
77,77,Without knowing it?,0.43732157349586487
78,78,What a flimsy formulation that was!,0.2908788025379181
79,79,"Reluctantly, we agreed to turn our backs on Adam and on each other for a while.",0.5135053396224976
80,80,"Miranda had a seminar to attend north of the river, I had emails to write.",0.5320086479187012
81,81,"By the early seventies, digital communication had discarded its air of convenience and become a daily chore.",0.7911254167556763
