1,1.3,"but remember, please, the law by which we live, we are not built to comprehend a lie ..."
2,0.0,"kipling, ""the secret of the machines"""
3,1.25,"it was religious yearning granted hope, it was the holy grail of science."
4,-1.0,"our ambitions ran high and low--for a creation myth made real, for a monstrous act of self-love."
5,-0.25,"as soon as it was feasible, we had no choice but to follow our desires and hang the consequences."
6,-0.6000000000000001,"in loftiest terms, we aimed to escape our mortality, confront or even replace the godhead with a perfect self."
7,3.0,"more practically, we intended to devise an improved, more modern version of ourselves and exult in the joy of invention, the thrill of mastery."
8,0.9500000000000001,"in the autumn of the twentieth century, it came about at last, the first step towards the fulfilment of an ancient dream, the beginning of the long lesson we would teach ourselves that however complicated we were, however faulty and difficult to describe in even our simplest actions and modes of being, we could be imitated and bettered."
9,1.15,"and i was there as a young man, an early and eager adopter in that chilly dawn."
10,-1.5,"but artificial humans were a cliche long before they arrived, so when they did, they seemed to some a disappointment."
11,-0.09999999999999995,"the imagination, fleeter than history, than technological advance, had already rehearsed this future in books, then films and tv dramas, as if human actors, walking with a certain glazed look, phony head movements, some stiffness in the lower back, could prepare us for life with our cousins from the future."
12,0.5,"i was among the optimists, blessed by unexpected funds following my mother's death and the sale of the family home, which turned out to be on a valuable development site."
13,0.5,"the first truly viable manufactured human with plausible intelligence and looks, believable motion and shifts of expression, went on sale the week before the falklands task force set off on its hopeless mission."
14,0.0,"adam cost ps86,000."
15,-0.75,i brought him home in a hired van to my unpleasant flat in north clapham.
16,2.05,"i would made a reckless decision, but i was encouraged by reports that sir alan turing, war hero and presiding genius of the digital age, had taken delivery of the same model."
17,0.4,fie probably wanted to have his lab take it apart to examine its workings fully.
18,0.0,"twelve of this first edition were called adam, thirteen were called eve."
19,0.5,"corny, everyone agreed, but commercial."
20,-0.8,"notions of biological race being scientifically discredited, the twenty-five were designed to cover a range of ethnicities."
21,-2.0,"there were rumours, then complaints, that the arab could not be told apart from the jew."
22,1.3,random programming as well as life experience would grant to all complete latitude in sexual preference.
23,0.0,"by the end of the first week, all the eves sold out."
24,-0.5,"at a careless glance, i might have taken my adam for a turk or a greek."
25,0.25,"he weighed 170 pounds, so i had to ask my upstairs neighbour, miranda, to help me carry him in from the street on the disposable stretcher that came with the purchase."
26,0.0,"while his batteries began to charge, i made us coffee, then scrolled through the 470-page online handbook."
27,1.0,its language was mostly clear and precise.
28,0.0,but adam was created across different agencies and in places the instructions had the charm of a nonsense poem.
29,1.25,"unreveal upside of b347k vest to gain carefree emoticon with motherboard output to attenuate mood-swing penumbra."""
30,-0.25,"at last, with cardboard and polystyrene wrapping strewn around his ankles, he sat naked at my tiny dining table, eyes closed, a black power line trailing from the entry point in his umbilicus to a thirteen-amp socket in the wall."
31,-0.25,it would take sixteen hours to fire him up.
32,0.0,then sessions of download updates and personal preferences.
33,0.0,"i wanted him now, and so did miranda."
34,2.4,"like eager young parents, we were avid for his first words."
35,-1.0,there was no loudspeaker cheaply buried in his chest.
36,1.15,"we knew from the excited publicity that he formed sounds with breath, tongue, teeth and palate."
37,1.1,already his lifelike skin was warm to the touch and as smooth as a child's.
